Id,tweets
126,": Important: “Excess weight also appears to be a significant risk factor; over % of patients were overweight, obese or cli…"
127,: A prominent GOP fundraiser abruptly left his clients this week because he started a new company hocking medical equipment dur…
128,"For Autocrats, and Others, Coronavirus Is a Chance to Grab Even More Power - The New York Times"
129,: These dudes care so much for us natives that they cant bear to see us die &amp; so would rather scamper back...of course the…
130,": LETTER: President writes a letter to Nigerians, notifying them about the Act he signed today, the Regul…"
131,: can't see any problem with a capitalist system only giving a livelihood to those who've previously tested positive for COVID…
132,": Guys please pray for my dad, he’s contracted coronavirus and they’re stopping his dialysis because his unwell, and in serio…"
133,": Meghan Markle, as you have never seen her before."
134,: This is excellent news! A judge has blocked Texas’ unconstitutional use of the coronavirus outbreak to ban abortions.
135,: COVID19 is about to get bad (very bad) in this next month &amp; y’all think this shit gone be over in two weeks. No one is s…
136,today is the last day that i can go outside so im going to buy more oil paint at michaels before arizona goes on lockdown
137,When we get through I don't want to hear anyone say we can't make sacrifices to address what is an act…
138,Column: Economists agree with doctors that prematurely lifting lockdown would be disastrous
139,
140,: My husband is working days a week processing tests for key workers.
141,His commute puts him in harm's way for hour…
142,"I know every day this March has felt like a year, but don't forget that when our elected leaders were briefed on th…"
143,": Trump Sent Nearly Tons of Medical Supplies to China After First Coronavirus Case in the U.S. When Shortages Hit, He B…"
144,: Pensions are much better suited than any (k)-style plan to weather economic turbulence. See why TRS is assuring reti…
145,": I don't know about any one else, but I'm fantasizing about all of the things that pillow can be use for."
146,Not one of them…
147,: The whole world needs to come together in demanding an end to the global wildlife trade. The next pathogen that emerges f…
148,: Donald Trump has told people he wants Americans to see HIS signature on the Coronavirus Relief Checks that will be sent out a…
149,": Give it a couple of weeks, the dinasours are making a comeback."
150,: . CEO encourages Americans to use our extra time at home to reconnect with God. The company annou…
151,: Our first faculty high-five of the week goes to ' for commenting in on what …
152,: CNN’s Jim Acosta just called out Trump for lying about coronavirus. Trump replied by having a tantrum. Trump says he could “cau…
153,": New Jersey National Guardsman had died from ; ""Today is a sad day for the Department of Defense as we have lost our…"
154,": Trump, you incompetent idiot! You sent tons of PPE to China early but ignored warnings &amp; called COVID19 concerns a…"
155,: Can't wait for journos to try to dig up bad tweets from the guy (or gal) who invents the coronavirus vaccine. You know it's…
156,": But there is evidence. See, when you write headlines like this, it really makes it seem like you have an interest in peo…"
157,: Global vaccine coming. Why does this bother me? Maybe because Bill Gates is proposing placing a microchip in vaccines to t…
158,Will companies cover related ? One famed chef is suing his insurer to get covera…
159,: MyPillow CEO Mike Lindell tells Americans to read Bible at corona briefing
160,: Just confirming what we already knew for months ...it’s bioweapon ...
161,
162,The coronavirus may have leaked from a lab https://…
163,"Amid the deadly coronavirus outbreak in Pakistan, some extremist residents of Karachi’s Delhi colony refused to acc…"
164,: FDA issues emergency authorization for anti-malaria drugs touted by Trump amid coronavirus outbreak ht…
165,: . just pressed Trump on the per capita disparity between the U.S. and South Korea.
166,
167,Trump denied such a dispar…
168,": China gave the world poisoned dog food, toxic candy &amp; toothpaste, radioactive drywall, counterfeit electronic components,…"
169,: 🇨🇦’s first known community death—pt died in his home in Coastal Health region. No other info reported by…
170,: Germany has got testing spot on.
171,
172,They plan to test hundreds of thousands for the presence of the antibodies and issue…
173,: You know what hurt Trump's response to coronavirus?
174,
175,Trump.
176,": Yes, this. TeenVogue coming thru again. Cuomo is being sensible right now, and we're desperate for sense because Trump has n…"
177,Working from home? Here's the good witchdoctors guide
178,
179,
180,: LIVE: arrives in New York in support of the DOD’s response efforts. (no sound)
181,Breaknews
182,Day lockdown Confirm Slaps
183,Circle :95
184,Odorkor:52
185,Konkomba Market :
186,Kasoa :
187,
188,
189,": Workers at Amazon warehouses, Whole Foods grocery stores and Instacart food delivery do some of the most important jobs in…"
190,: Nevada Governor Sisolak's Chief Medical Officer Who Banned Hydroxychloroquine for Treating Coronavirus DOES NOT Have License…
191,"Every day at pm ET, residents isolated in their shoebox apts in my hood sent loud cheers to medical staff, the her…"
192,": Would it help you if instead of the current health care system, we had a single health insurer that covered everyone &amp; ever…"
193,: I hope we get a strict ass lockdown for the next month. Curfew &amp; everything. Americans are so ignorant. People need to be…
194,: This gives you an idea of how many layers of protection doctors need to keep themselves safe everyday from the Coronavirus…
195,: Germany has got testing spot on.
196,
197,They plan to test hundreds of thousands for the presence of the antibodies and issue…
198,: Here’s the video of President Trump saying he hasn’t heard of Americans with symptoms of the coronavirus not being able to get…
199,"How about our medical staff, donthey have the proper attire for the job. No. You idiot."
200,: OMG the CEO of My Pillow is briefing America about coronavirus response
201,: Museveni has announced a total lockdown in Uganda- no movement of persons and vehicles.
202,
203,A lockdown is the only way to stop…
204,: We must move forward on a fourth coronavirus stimulus package.
205,
206,"This bill must protect workers, not hand out more corpor…"
207,: Whoever invents the vaccine and/or cure for deserves to be a billionaire: Change my Mind
208,": How’s it possible that Italy has ,000 cases with ,000+ deaths why we have ,000 cases with ,700 deaths. Numbers…"
209,": Bianey Garciais with Lorena Borjas ""Public Hello folks please help me with a prayer for our dear and trans rights Acti…"
210,: Avenatti using coronavirus to get out of serving his time. Sick.
211,": BREAKING: says there are ,347 new cases of , bringing statewide total to ,636. Health Commissioner says…"
212,: Well was right to be suspicious. The endless levels of sadness in this crisis...
213,: :
214,airstrikes on Sana'a&amp;the jets are still flying. They are terrifying children&amp;they always kill civi…
215,: We must move forward on a fourth coronavirus stimulus package.
216,
217,"This bill must protect workers, not hand out more corpor…"
218,: This is just harrowing.
219,
220,"tells me that for *weeks,* senators were privately and insistently ""ringing alar…"
